review_text,sentiment,review_char_count,word_count,lowercase_review,label_encoded,processed_text
Taste of the food is nice but the dining and hygiene of the restaurant was not nice,neutral,83,17,taste of the food is nice but the dining and hygiene of the restaurant was not nice,0.0,taste food nice dining hygiene restaurant nice
Seemed to be very dark in the catalogue but when arrived the color fades after washing,negative,86,16,seemed to be very dark in the catalogue but when arrived the color fades after washing,-1.0,seemed dark catalogue arrived color fades washing
"Material is not nice but I like print and pattern, for this cost it worth only",neutral,78,16,"material is not nice but i like print and pattern, for this cost it worth only",0.0,material nice like print pattern cost worth
The quality is not anything that I'd put up in my home to try,negative,61,14,the quality is not anything that i'd put up in my home to try,-1.0,quality anything put home try
Durability is a concern but apart from that all other factors are good,neutral,70,13,durability is a concern but apart from that all other factors are good,0.0,durability concern apart factors good
The product is nice only but not as expected because of the fitting,neutral,67,13,the product is nice only but not as expected because of the fitting,0.0,product nice expected fitting
Actign is good and fight scenes were nice but not the story,neutral,59,12,actign is good and fight scenes were nice but not the story,0.0,actign good fight scenes nice story
The experience was good and I would recommend it to others,positive,58,11,the experience was good and i would recommend it to others,1.0,experience good would recommend others
water leakage issues because water pours out of the holes.,negative,58,10,water leakage issues because water pours out of the holes.,-1.0,water leakage issues water pours holes
This is one of the best purchases I have made,positive,45,10,this is one of the best purchases i have made,1.0,one best purchases made
This is one of the worst products I have used,negative,45,10,this is one of the worst products i have used,-1.0,one worst products used
Good material and patterns but don’t like the fitting,neutral,53,9,good material and patterns but don’t like the fitting,0.0,good material patterns like fitting
The delivery was fast and the packaging was secure,positive,50,9,the delivery was fast and the packaging was secure,1.0,delivery fast packaging secure
The product quality is excellent and exceeded my expectations,positive,61,9,the product quality is excellent and exceeded my expectations,1.0,product quality excellent exceeded expectations
"it’s high-quality, powerful, lightweight, and does a great job",positive,62,9,"it’s high-quality, powerful, lightweight, and does a great job",1.0,powerful lightweight great job
I am very satisfied with the service provided,positive,45,8,i am very satisfied with the service provided,1.0,satisfied service provided
It does what it is supposed to do,neutral,33,8,it does what it is supposed to do,0.0,supposed
It saves a lot of time and effort,positive,33,8,it saves a lot of time and effort,1.0,saves lot time effort
The product stopped working after a few days,negative,44,8,the product stopped working after a few days,-1.0,product stopped working days
The interface is clean and easy to use,positive,38,8,the interface is clean and easy to use,1.0,interface clean easy use
The app is usable but not very exciting,neutral,39,8,the app is usable but not very exciting,0.0,app usable exciting
You can watch the movie but not worthable,neutral,41,8,you can watch the movie but not worthable,0.0,watch movie worthable
The updates have improved the product a lot,positive,43,8,the updates have improved the product a lot,1.0,updates improved product lot
Ever worst utter flop movie in the world ,negative,41,8,ever worst utter flop movie in the world ,-1.0,ever worst utter flop movie world
It looks fine but could be improved,neutral,35,7,it looks fine but could be improved,0.0,looks fine could improved
Amazing performance and great value for money,positive,45,7,amazing performance and great value for money,1.0,amazing performance great value money
The quality is decent for the price,neutral,35,7,the quality is decent for the price,0.0,quality decent price
I think the product meets basic expectations,neutral,44,7,i think the product meets basic expectations,0.0,think product meets basic expectations
I am disappointed with the overall performance,negative,46,7,i am disappointed with the overall performance,-1.0,disappointed overall performance
Delivery was delayed and packaging was damaged,negative,46,7,delivery was delayed and packaging was damaged,-1.0,delivery delayed packaging damaged
The product is reliable and well designed,positive,41,7,the product is reliable and well designed,1.0,product reliable well designed
The support team resolved my issue quickly,positive,42,7,the support team resolved my issue quickly,1.0,support team resolved issue quickly
The experience was neither good nor bad,neutral,39,7,the experience was neither good nor bad,0.0,experience neither good bad
The quality is very poor and unacceptable,negative,41,7,the quality is very poor and unacceptable,-1.0,quality poor unacceptable
"No major complaints, but no highlights either",neutral,45,7,"no major complaints, but no highlights either",0.0,major complaints highlights either
Doesn’t take up a ton of space,positive,30,7,doesn’t take up a ton of space,1.0,take ton space
